title,company,location,created,category,salary_min,salary_max,contract_type,description,source
Alternance - Data Science (H/F),beBee Careers,"Suresnes, Nanterre",2025-06-01T10:07:01Z,Unknown,,,,Développez vos compétences en data science Nous recherchons des jeunes dynamiques pour notre programme d'alternance en data science. Cette opportunité est gratuite pour les jeunes de moins de 29 ans et les demandeurs d'emploi.,Adzuna API
Stage de fin d'étude cycle ingénieur(e) en Data Science F/H,Safran,"Magny-les-Hameaux, Maurepas",2025-05-09T08:04:54Z,Unknown,,,,"Nous recherchons un(e) étudiant(e) pour un stage de fin d'étude ingénieur portant sur la recherche d'une méthode d'interpolation sous contraintes de courbes 3D (NURBS). Ce projet intègre une dimension de retro engineering, visant à analyser et comprendre les résultats d'interpolation renvoyés par une fonction « boîte noire » fournie par un modeleur CAO industrielle servant de référence. En s'appuyant sur cette analyse, l'objectif est de proposer et de développer des nouvelles méthodes d'interpo…",Adzuna API
Alternance Bac5 en Data Science H/F,Ineris,"Creil-Nogent-sur-Oise, Senlis",2025-03-19T06:11:14Z,Unknown,486.0,1802.0,,"Au sein de la direction de la stratégie, de la communication et de la politique scientifique, l'unité Economie et Décision pour l'Environnement, composée de 7 personnes, est principalement investie dans des programmes de recherche nationaux et européens et des programmes d'aide à la décision publique. Ses travaux portent essentiellement sur l'aide à la décision pour la réduction de pollutions (air, eau), sur l'aide à la sélection de stratégies de réduction d'émissions et sur l'identification et…",Adzuna API
Alternance - Ingénieur Data Science H/F,Framatome,"Vizille, Grenoble",2025-05-15T06:26:35Z,Unknown,486.0,1802.0,,"Le site de Jarrie produit de l'éponge de zirconium au terme d'opérations de métallurgie extractive. Le site valorise également des produits dérivés de la fabrication du zirconium tels que des sels et des oxydes d'hafnium et de magnésium. Vous êtes intégré(e) à l'équipe R&D du site de Jarrie, et vous avez pour mission principale l'application de techniques d'apprentissage et de traitement de données industrielles pour modéliser des procédés industriels utilisés dans l'industrie chimique Vous ser…",Adzuna API
Alternant Consultant Data science F/H,beBee Careers,"Montreuil, Bobigny",2025-06-01T18:19:21Z,Unknown,,,,"Souhaitez-vous intégrer une entreprise innovante et dynamique, où l'esprit d'équipe et la collaboration sont au cœur de nos valeurs ? Nous recherchons des alternants passionnés et motivés pour rejoindre notre équipe de Data Analystes. Le programme d'alternance comprend 10 semaines de formation en présentiel, suivies de 13 mois en entreprise, avec des objectifs précis à atteindre. En tant que stagiaire, vous aurez la possibilité de travailler sur des projets réels, acquis une expérience concrète…",Adzuna API
Data Science Intern,SCOR,"Ile-de-France, France",2025-05-30T21:58:08Z,"Emplois RP, Publicité et Marketing",,,,"Description The Data Science Team is SCOR’s center of expertise on advanced analytics topics, including Machine Learning, Natural Language Processing. It contributes to enhance SCOR’s data capabilities in order to help innovate processes such as underwriting or claims by creatively applying cutting edge Data Science techniques. Data Scientists are also involved in delivering solutions (survival analysis, interpretability, …) and spreading Data Science knowledge within the company. SCOR is worki…",Adzuna API
Data Science Apprentice,Lyreco,"Valenciennes, Nord",2025-05-17T21:45:20Z,Emplois Fabrication,,,,"Etes-vous enthousiaste à l'idée de vivre une nouvelle aventure professionnelle ? Chez Lyreco, nous offrons plus qu'un emploi, mais une carrière ! Notre équipe Data Science&Projects est à la recherche d'un A lternant Data Science H/F talentueux et ambitieux pour rejoindre notre siège à Marly (59). Lyreco est le leader européen et le troisième distributeur mondial de produits et de services liés au lieu de travail. Société privée depuis 1926, Lyreco s'est constamment adaptée aux évolutions du mon…",Adzuna API
Formations en data science,beBee Careers,"Val-de-Marne, Ile-de-France",2025-06-01T14:05:15Z,Emplois Vente,,,contract,"Découvrez notre parcours en Data Science Nous sommes à la recherche de personnes passionnées par l'analyse de données et souhaitant faire partie d'une communauté diversifiée, conviviale et dynamique. Dans ce cadre d'alternance, vous passerez 10 semaines en formation intensif en anglais et obtiendrez un titre professionnel reconnu par l'État. Après cela, vous engagerez 13 mois en entreprise pour mettre en pratique vos compétences. Ce choix peut être réalisé sans frais via notre site officiel. Vo…",Adzuna API
Manager Data Science,ClaraVista,"11ème Arrondissement, Paris",2025-06-01T22:01:25Z,"Emplois RP, Publicité et Marketing",,,,"En tant que Manager Data Science, vous portez un ou plusieurs projets de manière autonome, en encadrant des Data Scientists et en collaborant avec une équipe multi-profils. Vous structurez la problématique du client avec le reste de l’équipe, vous prenez le lead sur la conception de l’approche analytique la plus pertinente, vous suivez sa mise en œuvre et validez les résultats. Vous êtes en première ligne pour la présentation des résultats à nos clients, et êtes capable d’en déduire et présente…",Adzuna API
Data Science Intern,Lynceus,"2ème Arrondissement, Paris",2024-10-06T14:15:01Z,Unknown,,,,"What you will do The Lynceus Modelling team are looking for a Data Science intern (3 months or more) to help fast-track some of our exciting new initiatives. During the internship, you will: Contribute to the development, maintenance and documentation of our internal modeling tools incorporating internal and customer feedback. Assist with data exploration using internal tool and third party tools to the goal of improving our modeling Suggest improvements across the full product suite, advocatin…",Adzuna API
Formation DATA SCIENCE,DATASCIENTEST,"Bordeaux, Gironde",2024-06-13T10:31:01Z,Emplois Informatique,,,contract,"Le Data Scientist métier le plus sexy du 21 eme siecle , traite les données et élabore des modèles prédictifs . En suivant ce cursus, vous aurez toutes les clefs pour y parvenir. Les compétences nécessaires en Python, DataViz , mais également Machine Learning Deep Learing ou Artificial intelligence . Un programme exhaustif qui fera de vous un Data scientist opérationnel et à l'aise avec toutes les technologiques utilisées sur le marché. Informations pratiques: - Parcours de formation Hybride mê…",Adzuna API
Formation DATA SCIENCE,DATASCIENTEST,"Nantes, Loire-Atlantique",2025-05-01T01:38:58Z,Emplois Informatique,,,contract,"Le Data Scientist métier le plus sexy du 21 eme siecle , traite les données et élabore des modèles prédictifs . En suivant ce cursus, vous aurez toutes les clefs pour y parvenir. Les compétences nécessaires en Python, DataViz , mais également Machine Learning Deep Learing ou Artificial intelligence . Un programme exhaustif qui fera de vous un Data scientist opérationnel et à l'aise avec toutes les technologiques utilisées sur le marché. Informations pratiques: - Parcours de formation Hybride mê…",Adzuna API
Formation DATA SCIENCE,DATASCIENTEST,"Lille, Nord",2025-02-06T02:44:07Z,Emplois Informatique,,,contract,"Le Data Scientist métier le plus sexy du 21 eme siecle , traite les données et élabore des modèles prédictifs . En suivant ce cursus, vous aurez toutes les clefs pour y parvenir. Les compétences nécessaires en Python, DataViz , mais également Machine Learning Deep Learing ou Artificial intelligence . Un programme exhaustif qui fera de vous un Data scientist opérationnel et à l'aise avec toutes les technologiques utilisées sur le marché. Informations pratiques: - Parcours de formation Hybride mê…",Adzuna API
Formation DATA SCIENCE,DATASCIENTEST,"Toulouse, Haute-Garonne",2024-06-13T10:30:56Z,Emplois Informatique,,,contract,"Le Data Scientist métier le plus sexy du 21 eme siecle , traite les données et élabore des modèles prédictifs . En suivant ce cursus, vous aurez toutes les clefs pour y parvenir. Les compétences nécessaires en Python, DataViz , mais également Machine Learning Deep Learing ou Artificial intelligence . Un programme exhaustif qui fera de vous un Data scientist opérationnel et à l'aise avec toutes les technologiques utilisées sur le marché. Informations pratiques: - Parcours de formation Hybride mê…",Adzuna API
Formation DATA SCIENCE,DATASCIENTEST,"Nice, Alpes-Maritimes",2025-05-02T01:39:36Z,Emplois Informatique,,,contract,"Le Data Scientist métier le plus sexy du 21 eme siecle , traite les données et élabore des modèles prédictifs . En suivant ce cursus, vous aurez toutes les clefs pour y parvenir. Les compétences nécessaires en Python, DataViz , mais également Machine Learning Deep Learing ou Artificial intelligence . Un programme exhaustif qui fera de vous un Data scientist opérationnel et à l'aise avec toutes les technologiques utilisées sur le marché. Informations pratiques: - Parcours de formation Hybride mê…",Adzuna API
Formation DATA SCIENCE,DATASCIENTEST,"Strasbourg, Strasbourg-Ville",2024-06-13T10:30:57Z,Emplois Informatique,,,contract,"Le Data Scientist métier le plus sexy du 21 eme siecle , traite les données et élabore des modèles prédictifs . En suivant ce cursus, vous aurez toutes les clefs pour y parvenir. Les compétences nécessaires en Python, DataViz , mais également Machine Learning Deep Learing ou Artificial intelligence . Un programme exhaustif qui fera de vous un Data scientist opérationnel et à l'aise avec toutes les technologiques utilisées sur le marché. Informations pratiques: - Parcours de formation Hybride mê…",Adzuna API
Formation DATA SCIENCE,DATASCIENTEST,"Montpellier, Hérault",2025-05-02T01:39:36Z,Emplois Informatique,,,contract,"Le Data Scientist métier le plus sexy du 21 eme siecle , traite les données et élabore des modèles prédictifs . En suivant ce cursus, vous aurez toutes les clefs pour y parvenir. Les compétences nécessaires en Python, DataViz , mais également Machine Learning Deep Learing ou Artificial intelligence . Un programme exhaustif qui fera de vous un Data scientist opérationnel et à l'aise avec toutes les technologiques utilisées sur le marché. Informations pratiques: - Parcours de formation Hybride mê…",Adzuna API
Formation DATA SCIENCE,DATASCIENTEST,"Puteaux, Nanterre",2025-05-01T01:38:58Z,Emplois Informatique,,,contract,"Le Data Scientist métier le plus sexy du 21 eme siecle , traite les données et élabore des modèles prédictifs . En suivant ce cursus, vous aurez toutes les clefs pour y parvenir. Les compétences nécessaires en Python, DataViz , mais également Machine Learning Deep Learing ou Artificial intelligence . Un programme exhaustif qui fera de vous un Data scientist opérationnel et à l'aise avec toutes les technologiques utilisées sur le marché. Informations pratiques: - Parcours de formation Hybride mê…",Adzuna API
Formation DATA SCIENCE,DATASCIENTEST,"Marseille, Bouches-du-Rhône",2025-05-02T01:39:36Z,Emplois Informatique,,,contract,"Le Data Scientist métier le plus sexy du 21 eme siecle , traite les données et élabore des modèles prédictifs . En suivant ce cursus, vous aurez toutes les clefs pour y parvenir. Les compétences nécessaires en Python, DataViz , mais également Machine Learning Deep Learing ou Artificial intelligence . Un programme exhaustif qui fera de vous un Data scientist opérationnel et à l'aise avec toutes les technologiques utilisées sur le marché. Informations pratiques: - Parcours de formation Hybride mê…",Adzuna API
Formation DATA SCIENCE,DATASCIENTEST,"Clermont-Ferrand, Puy-de-Dôme",2024-06-13T10:30:57Z,Emplois Informatique,,,contract,"Le Data Scientist métier le plus sexy du 21 eme siecle , traite les données et élabore des modèles prédictifs . En suivant ce cursus, vous aurez toutes les clefs pour y parvenir. Les compétences nécessaires en Python, DataViz , mais également Machine Learning Deep Learing ou Artificial intelligence . Un programme exhaustif qui fera de vous un Data scientist opérationnel et à l'aise avec toutes les technologiques utilisées sur le marché. Informations pratiques: - Parcours de formation Hybride mê…",Adzuna API
Formation DATA SCIENCE,DATASCIENTEST,"Nancy, Meurthe-et-Moselle",2024-06-13T10:30:56Z,Emplois Informatique,,,contract,"Le Data Scientist métier le plus sexy du 21 eme siecle , traite les données et élabore des modèles prédictifs . En suivant ce cursus, vous aurez toutes les clefs pour y parvenir. Les compétences nécessaires en Python, DataViz , mais également Machine Learning Deep Learing ou Artificial intelligence . Un programme exhaustif qui fera de vous un Data scientist opérationnel et à l'aise avec toutes les technologiques utilisées sur le marché. Informations pratiques: - Parcours de formation Hybride mê…",Adzuna API
Formation DATA SCIENCE,DATASCIENTEST,"Caen, Calvados",2024-06-13T10:31:01Z,Emplois Informatique,,,contract,"Le Data Scientist métier le plus sexy du 21 eme siecle , traite les données et élabore des modèles prédictifs . En suivant ce cursus, vous aurez toutes les clefs pour y parvenir. Les compétences nécessaires en Python, DataViz , mais également Machine Learning Deep Learing ou Artificial intelligence . Un programme exhaustif qui fera de vous un Data scientist opérationnel et à l'aise avec toutes les technologiques utilisées sur le marché. Informations pratiques: - Parcours de formation Hybride mê…",Adzuna API
